location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","relativehumidity",59.76700019836426,"%","2026-01-12T22:00:00Z","2026-01-13T01:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","relativehumidity",57.54745469526811,"%","2026-01-12T23:00:00Z","2026-01-13T02:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","relativehumidity",59.025000000000006,"%","2026-01-13T00:00:00Z","2026-01-13T03:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",17.053666877746583,"c","2026-01-12T01:00:00Z","2026-01-12T04:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",16.612500190734867,"c","2026-01-12T02:00:00Z","2026-01-12T05:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",16.24650020599365,"c","2026-01-12T03:00:00Z","2026-01-12T06:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",16.005000019073485,"c","2026-01-12T04:00:00Z","2026-01-12T07:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",18.24983326594035,"c","2026-01-12T05:00:00Z","2026-01-12T08:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",28.078833293914794,"c","2026-01-12T06:00:00Z","2026-01-12T09:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",31.972666517893472,"c","2026-01-12T07:00:00Z","2026-01-12T10:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",31.212666575113932,"c","2026-01-12T08:00:00Z","2026-01-12T11:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",24.17950003941854,"c","2026-01-12T09:00:00Z","2026-01-12T12:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",22.73266690572103,"c","2026-01-12T10:00:00Z","2026-01-12T13:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",22.479000282287597,"c","2026-01-12T11:00:00Z","2026-01-12T14:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",21.898666731516524,"c","2026-01-12T12:00:00Z","2026-01-12T15:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",20.911999924977618,"c","2026-01-12T13:00:00Z","2026-01-12T16:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",20.28333346048991,"c","2026-01-12T14:00:00Z","2026-01-12T17:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",19.98033345540365,"c","2026-01-12T15:00:00Z","2026-01-12T18:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",19.82383317947388,"c","2026-01-12T16:00:00Z","2026-01-12T19:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",19.49966672261556,"c","2026-01-12T17:00:00Z","2026-01-12T20:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",19.272499815622968,"c","2026-01-12T18:00:00Z","2026-01-12T21:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",19.034333515167237,"c","2026-01-12T19:00:00Z","2026-01-12T22:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",18.833999760945638,"c","2026-01-12T20:00:00Z","2026-01-12T23:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",18.714500395456948,"c","2026-01-12T21:00:00Z","2026-01-13T00:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",18.61500034332275,"c","2026-01-12T22:00:00Z","2026-01-13T01:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",18.36636338667436,"c","2026-01-12T23:00:00Z","2026-01-13T02:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","temperature",18.20850060780843,"c","2026-01-13T00:00:00Z","2026-01-13T03:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",1237.0170054117839,"particles/cm³","2026-01-12T01:00:00Z","2026-01-12T04:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",1584.566835530599,"particles/cm³","2026-01-12T02:00:00Z","2026-01-12T05:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",1850.2308349609373,"particles/cm³","2026-01-12T03:00:00Z","2026-01-12T06:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",1926.8110127766925,"particles/cm³","2026-01-12T04:00:00Z","2026-01-12T07:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",2195.994342041016,"particles/cm³","2026-01-12T05:00:00Z","2026-01-12T08:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",1629.8640034993489,"particles/cm³","2026-01-12T06:00:00Z","2026-01-12T09:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",1428.3806681315102,"particles/cm³","2026-01-12T07:00:00Z","2026-01-12T10:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",1080.3281677246093,"particles/cm³","2026-01-12T08:00:00Z","2026-01-12T11:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",835.0690012613932,"particles/cm³","2026-01-12T09:00:00Z","2026-01-12T12:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",961.0451629638673,"particles/cm³","2026-01-12T10:00:00Z","2026-01-12T13:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",929.7331675211589,"particles/cm³","2026-01-12T11:00:00Z","2026-01-12T14:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",887.6308329264324,"particles/cm³","2026-01-12T12:00:00Z","2026-01-12T15:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
4421507,"Alkhobar - Ar Rakkah | الخبر - الراكة","um003",1284.0583333333332,"particles/cm³","2026-01-12T13:00:00Z","2026-01-12T16:00:00+03:00","Asia/Riyadh",26.3521533,50.2069895,,,,"Yahya Alarfaj","AirGradient"
